id,Olivier Besancenot,Marie-George Buffet,Gérard Schivardi,François Bayrou,José Bové,Dominique Voynet,Philippe de Villiers,Ségolène Royal,Frédéric Nihous,Jean-Marie Le Pen,Arlette Laguiller,Nicolas Sarkozy
0,0,0,0,1,0,0,0,4,0,3,0,2
1,9,8,7,3,6,5,4,12,10,1,11,2
2,7,8,9,1,10,6,4,2,5,12,11,3
3,1,0,0,0,0,0,0,3,0,2,0,0
4,7,8,9,4,11,6,5,1,2,12,10,3
5,2,3,7,9,6,5,10,1,8,12,4,11
6,12,8,5,3,10,9,11,4,7,1,6,2
7,3,11,12,4,10,9,5,6,7,1,8,2
8,6,3,10,1,7,4,12,5,9,11,8,2
9,0,0,0,3,0,0,0,0,0,2,0,1
10,6,11,5,3,9,10,4,12,7,2,8,1
11,3,4,8,1,6,7,11,2,9,12,5,10
12,3,0,0,2,0,0,0,1,0,0,4,0
13,3,0,0,1,0,5,0,0,4,0,2,0
14,2,0,0,1,5,0,0,3,0,0,0,4
15,10,9,5,1,4,3,8,12,6,11,7,2
16,0,0,0,0,0,0,2,0,4,3,0,1
17,2,0,0,3,0,0,0,0,0,0,1,0
18,3,5,9,2,6,8,12,1,7,11,4,10
19,4,7,8,2,6,5,11,1,9,12,3,10
20,3,4,0,2,5,0,0,1,0,0,0,0
21,2,5,6,4,9,7,10,1,8,12,3,11
22,7,6,9,1,10,4,12,3,8,5,11,2
23,0,0,0,1,5,4,0,2,0,0,0,3
24,3,0,0,2,5,0,0,1,0,0,4,0
25,1,0,0,0,0,0,0,2,0,0,0,3
26,6,11,7,4,8,5,9,12,10,1,3,2
27,10,12,11,4,7,8,3,5,9,1,6,2
28,7,9,8,1,5,2,11,4,10,12,6,3
29,8,7,6,9,3,2,10,1,4,12,5,11
30,2,3,0,7,1,5,0,4,0,0,6,0
31,1,0,0,2,0,0,0,0,0,0,0,3
32,8,9,7,4,10,6,5,12,3,2,11,1
33,0,3,0,0,0,0,0,1,0,0,4,2
34,0,0,0,0,0,0,0,0,0,2,0,1
35,4,2,0,0,6,3,0,1,0,0,5,0
36,8,7,9,2,11,6,3,5,10,12,4,1
37,2,6,10,3,8,5,12,1,9,11,4,7
38,11,9,12,3,10,7,2,6,4,5,8,1
39,2,1,3,6,4,5,0,8,0,0,7,0
40,1,2,8,7,10,3,6,5,4,12,9,11
41,0,0,0,2,0,0,0,3,0,0,0,1
42,0,0,0,3,0,0,4,0,0,2,0,1
43,0,0,0,2,0,0,0,1,0,0,0,3
44,0,0,0,2,0,0,0,1,0,4,0,3
45,0,0,0,2,0,0,0,0,0,0,0,1
46,2,1,7,8,4,5,11,3,9,12,6,10
47,8,5,10,2,4,3,11,1,6,12,9,7
48,10,4,0,3,9,8,5,1,11,6,7,2
49,0,0,0,3,0,0,2,0,0,4,0,1
50,1,4,3,0,0,0,0,0,0,0,2,0
51,1,0,0,2,0,0,0,0,0,0,0,0
52,0,0,0,2,0,0,0,4,0,3,0,1
53,0,0,0,2,0,0,0,1,0,0,0,0
54,3,2,0,0,5,4,0,1,0,0,0,0
55,0,0,0,2,0,0,0,0,0,0,0,1
56,1,0,0,0,0,0,0,3,0,0,2,0
57,10,9,8,5,2,0,3,6,7,11,4,1
58,2,5,8,9,1,6,10,4,7,11,3,12
59,0,0,0,2,0,0,0,3,0,0,0,1
60,0,0,0,4,0,6,2,0,3,5,0,1
61,2,0,0,0,0,0,0,0,0,1,0,0
62,6,5,9,11,10,7,8,4,12,1,3,2
63,0,0,0,4,0,3,0,1,0,0,2,0
64,0,0,0,2,0,0,0,0,0,3,0,1
65,9,6,10,2,7,8,3,4,11,1,12,5
66,3,0,0,0,2,1,0,4,0,0,5,0
67,0,0,0,2,0,0,0,0,0,0,3,1
68,0,0,0,2,0,0,3,0,0,4,0,1
69,0,0,0,0,0,0,0,0,2,0,0,1
70,5,6,9,1,10,4,8,2,7,12,11,3
71,3,0,0,1,0,0,0,2,0,0,0,0
72,0,0,0,1,0,3,2,0,4,0,0,5
73,9,10,8,2,7,11,3,6,5,4,12,1
74,4,7,11,3,6,8,9,1,12,5,10,2
75,9,8,10,4,7,11,5,6,12,1,3,2
76,3,0,0,2,0,5,0,1,0,0,0,4
77,3,4,0,0,0,0,0,1,0,0,2,0
78,3,0,0,2,0,0,0,0,0,0,0,1
79,0,4,0,3,0,5,0,1,0,0,6,2
80,0,0,0,2,0,0,0,3,0,4,0,1
81,3,6,10,1,7,8,11,2,9,12,4,5
82,4,11,10,2,9,3,8,7,6,12,5,1
83,0,0,0,1,0,0,0,0,0,0,3,2
84,0,0,0,1,0,0,0,0,0,0,0,0
85,2,9,4,11,3,7,10,12,5,1,6,8
86,10,2,8,9,11,4,5,3,6,12,1,7
87,11,7,6,3,5,8,10,12,9,1,4,2
88,3,6,9,2,8,7,12,4,10,11,1,5
89,3,9,8,4,1,10,11,6,5,12,2,7
90,2,3,12,8,7,6,9,10,5,1,4,11
91,6,7,8,1,3,5,11,2,10,12,4,9
92,0,0,0,1,4,0,0,2,0,0,0,3
93,3,0,0,1,0,0,0,2,0,0,4,0
94,6,5,0,2,0,3,0,0,7,0,4,1
95,2,0,0,4,3,0,0,0,0,1,0,0
96,2,5,8,7,3,4,10,1,9,12,6,11
97,3,2,8,7,5,4,12,6,9,11,1,10
98,1,3,7,9,5,2,0,6,8,0,4,0
99,2,6,9,4,11,8,7,3,10,12,5,1
100,3,0,0,0,2,1,0,4,0,0,0,0
101,1,0,0,3,2,0,0,4,0,0,0,5
102,0,0,0,1,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,3,0,2,0,0,1
104,0,0,0,2,0,0,0,1,0,0,0,3
105,1,6,0,5,3,2,0,4,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,1
107,4,10,8,2,7,12,5,3,9,6,11,1
108,8,7,10,3,9,0,2,4,6,5,11,1
109,0,0,0,0,0,0,0,1,0,0,0,0
110,0,2,0,0,0,0,0,0,0,0,0,1
111,2,0,0,0,0,0,0,1,0,0,0,0
112,0,0,0,3,0,0,0,1,0,0,0,2
113,4,3,5,2,11,10,6,12,7,8,9,1
114,0,0,0,1,0,0,0,2,0,0,0,3
115,7,9,10,3,11,6,5,8,4,1,0,2
116,0,0,0,0,0,0,0,0,0,1,0,2
117,0,0,0,3,0,0,2,0,0,0,0,1
118,5,1,8,9,4,3,10,2,7,12,6,11
119,3,4,7,1,6,5,11,2,9,12,8,10
120,4,2,8,7,6,5,12,1,9,11,3,10
121,0,0,0,3,1,2,0,4,0,0,0,0
122,8,4,3,2,10,5,9,1,7,12,6,11
123,0,0,0,0,0,0,0,1,0,0,0,2
124,0,0,0,4,1,0,3,2,0,0,0,5
125,11,8,5,2,10,9,3,6,4,12,7,1
126,6,5,8,2,7,4,10,1,9,12,3,11
127,8,2,9,3,10,4,12,1,5,7,6,11
128,2,5,6,8,10,7,12,4,3,11,1,9
129,0,0,0,0,0,1,0,2,0,0,0,0
130,5,4,0,3,0,0,0,1,0,6,2,7
131,0,0,2,1,0,0,0,0,0,0,0,0
132,2,1,0,5,6,0,0,4,0,0,3,0
133,0,0,0,0,0,4,3,0,0,2,0,1
134,3,2,0,0,5,1,0,4,0,0,6,0
135,0,0,0,0,0,0,0,0,0,2,0,1
136,3,7,8,5,10,4,9,1,6,11,2,12
137,3,0,0,0,1,2,0,4,0,0,0,0
138,2,5,6,0,3,0,0,4,7,0,1,0
139,4,6,12,1,11,7,8,5,10,3,9,2
140,4,0,0,1,0,0,0,3,0,0,5,2
141,2,3,0,4,0,0,0,1,0,0,0,0
142,2,3,0,4,0,0,0,1,0,0,0,0
143,3,0,6,0,2,0,0,1,5,0,4,0
144,0,0,0,1,0,0,2,0,0,0,0,3
145,9,10,11,2,5,3,6,4,7,12,8,1
146,0,0,0,1,0,0,0,3,0,0,0,2
147,5,6,7,1,3,11,12,2,10,8,9,4
148,2,1,0,0,4,5,0,3,0,0,0,0
149,2,6,7,3,8,9,10,4,5,12,1,11
150,0,0,0,3,0,0,2,4,0,0,0,1
151,7,6,8,1,9,11,10,2,3,4,5,12
152,0,0,0,3,0,1,0,2,0,0,0,0
153,2,3,9,1,8,4,10,5,7,11,6,12
154,2,3,11,1,10,9,8,7,6,12,5,4
155,9,8,11,2,10,4,6,1,12,5,7,3
156,7,6,8,4,9,5,12,3,10,11,1,2
157,3,5,9,1,11,4,12,6,7,10,8,2
158,3,8,12,1,11,7,9,6,2,10,4,5
159,6,5,4,1,11,9,8,10,3,12,7,2
